,braid,free_part,torsion_part,total_num_FP,total_num_TP
2563,"[-1, -2, 2, 2, 2, -1, -1, -1, -2]","{(-6, -2): 1, (-4, -2): 1, (-2, 0): 1, (0, 0): 1}",{},4,0
2564,"[-3, -3, 2, -1, -3, 1, 3, -3, 2]","{(-9, -3): 1, (-7, -3): 1, (-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, -1): 1, (-3, 0): 2, (-1, -1): 1, (-1, 0): 4, (-1, 1): 1, (1, 0): 2, (1, 1): 1, (3, 2): 1, (5, 2): 1}","{(-7, -2): {2: 1}, (-5, -2): {2: 1}, (-5, -1): {2: 1}, (-3, -1): {2: 1}, (1, 2): {2: 1}, (3, 2): {2: 1}}",20,6
2565,"[-3, 1, -3, 1, -3, -1, 3, -2, 2]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
2566,"[2, -3, -3, -3, 1, 2, -1, 3, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2567,"[1, -2, -1, 3, -1, 1, 1, 3, -1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
2568,"[1, 1, -2, -2, -1, -3, 1, 1, 1]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 2, (3, 0): 1, (5, 1): 1, (5, 2): 2, (7, 2): 1, (9, 3): 1, (9, 4): 1, (11, 4): 1}","{(3, 1): {2: 1}, (7, 3): {2: 1}}",12,2
2569,"[-2, 1, 3, 2, -3, 1, -2, -3, 3]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
2570,"[-3, -2, -2, -1, 2, -2, -3, -3, -3]","{(-17, -6): 1, (-15, -6): 1, (-15, -5): 1, (-13, -4): 1, (-11, -4): 2, (-11, -3): 1, (-9, -2): 1, (-7, -2): 2, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",12,2
2571,"[-1, 3, 3, -3, 2, -2, -1, 1, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2572,"[2, 3, 2, 2, 1, 1, -3, -2, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0
2573,"[-3, -3, 2, 1, 2, -2, -2, -2, -2]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0
2574,"[-2, 2, 1, 1, -2, -1, 1, 2, -2]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0
2575,"[3, -1, 1, 3, 2, -3, 1, -3, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2576,"[3, 3, -3, 3, -2, 3, -1, 3, -2]","{(-3, -2): 1, (1, -1): 1, (1, 0): 3, (3, 0): 3, (3, 1): 1, (5, 2): 2, (7, 2): 1, (9, 3): 2, (9, 4): 1, (11, 4): 1}","{(-1, -1): {2: 1}, (5, 2): {2: 1}, (7, 3): {2: 2}}",16,4
2577,"[1, 1, -3, 3, 2, 1, -1, 3, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0
2578,"[-3, 2, -2, -2, -3, 3, 2, -2, -3]","{(-6, -2): 1, (-4, -2): 1, (-2, 0): 1, (0, 0): 1}",{},4,0
2579,"[3, 3, -2, -2, -2, 1, 1, -1, 2]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
2580,"[3, 2, 2, 2, -2, 2, -2, -3, 3]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0
2581,"[1, -2, 3, -1, 3, -2, -3, -2, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2582,"[2, -2, 2, 1, -3, 1, 3, 2, -2]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
2583,"[3, -3, 2, 1, 2, 3, 3, 3, 1]","{(3, 0): 1, (5, 0): 1, (7, 2): 2, (11, 3): 2, (11, 4): 1, (13, 5): 1, (15, 5): 1, (17, 6): 1}","{(9, 3): {2: 2}, (13, 5): {2: 1}, (15, 6): {2: 1}}",10,4
2584,"[2, 1, -1, 2, -3, 3, 3, 1, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2585,"[3, 2, -1, 2, -2, 3, -2, 3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
2586,"[-2, 1, -2, 2, -2, -2, 3, 3, 2]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
2587,"[3, -2, -2, 1, -2, -3, -2, 1, 1]","{(-7, -3): 1, (-5, -2): 1, (-3, -2): 1, (-3, -1): 1, (-1, -1): 1, (-1, 0): 2, (1, 0): 2, (1, 1): 1, (3, 1): 1, (3, 2): 1, (5, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (5, 3): {2: 1}}",14,6
2588,"[-2, 1, 3, 2, -3, -2, -1, -1, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2589,"[-3, 3, -1, 3, -2, 1, -3, 3, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2590,"[2, 2, -3, 3, -1, -3, 2, 2, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0
2591,"[-1, 3, -1, 3, -1, -1, 3, -3, 2]","{(-11, -4): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 2, (-5, -1): 1, (-3, 0): 1, (-1, 0): 2, (1, 2): 1, (3, 2): 1}","{(-7, -2): {2: 1}, (-3, 0): {2: 1}}",12,2
2592,"[-2, -3, -1, -1, -2, -1, 3, 1, -2]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0
2593,"[3, -3, 3, 1, 3, 1, 1, -1, -2]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0
2594,"[-1, -3, 1, 2, -1, -1, -2, 3, -1]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
2595,"[3, -2, -2, -2, 2, 2, -2, 3, 1]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
2596,"[2, 1, 2, 2, 1, -2, -3, 1, -3]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 3, (3, 0): 2, (5, 1): 1, (5, 2): 3, (7, 2): 1, (9, 3): 2, (9, 4): 1, (13, 5): 1}","{(3, 1): {2: 1}, (7, 3): {2: 2}, (11, 5): {2: 1}}",16,4
2597,"[1, 2, -2, 1, -3, 2, -2, 2, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2598,"[-3, 2, 2, -1, 1, 2, 3, -2, 3]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0
2599,"[-1, -1, -1, 1, 3, 1, -3, -2, 2]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0
2600,"[1, 2, -2, 3, -2, -3, 3, 3, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
2601,"[-2, -1, 1, -2, 3, 3, 3, -2, -3]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0
2602,"[2, -1, 3, 1, -3, 3, -2, 3, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2603,"[2, -2, -1, -2, -2, 1, -3, -2, 3]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
2604,"[-3, -2, 2, -2, 3, 3, 1, 3, -1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
2605,"[3, -2, 2, -2, 3, -2, -2, 3, -1]","{(-7, -3): 1, (-5, -2): 1, (-3, -2): 1, (-3, -1): 1, (-1, -1): 1, (-1, 0): 2, (1, 0): 2, (1, 1): 1, (3, 1): 1, (3, 2): 1, (5, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (5, 3): {2: 1}}",14,6
2606,"[2, -1, 2, -3, 3, -1, 2, -3, -1]","{(-7, -3): 1, (-5, -2): 2, (-3, -2): 1, (-1, -1): 2, (-1, 0): 4, (1, 0): 4, (1, 1): 2, (3, 2): 1, (5, 2): 2, (7, 3): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 2}, (3, 2): {2: 2}, (5, 3): {2: 1}}",20,6
2607,"[-2, -3, -3, -1, -1, -3, -3, -2, 1]","{(-21, -8): 1, (-19, -8): 1, (-19, -7): 1, (-17, -6): 1, (-15, -6): 1, (-15, -5): 1, (-13, -5): 1, (-13, -4): 3, (-11, -4): 3, (-11, -3): 1, (-9, -3): 1, (-9, -2): 1, (-7, -2): 1, (-5, -1): 1, (-5, 0): 1, (-3, 0): 1}","{(-17, -6): {2: 1}, (-15, -5): {2: 1}, (-13, -4): {2: 1}, (-11, -3): {2: 1}, (-9, -2): {2: 1}, (-7, -1): {2: 1}}",20,6
2608,"[3, 2, -2, -3, 3, -1, -1, -2, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2609,"[1, -2, -1, -3, -2, -1, 1, 1, -3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2610,"[2, -3, 3, 3, -3, 1, -2, -1, 2]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0
2611,"[-3, 2, 3, 2, 3, -3, -3, -3, 3]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0
2612,"[1, 2, 1, -2, 2, -1, -3, 2, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2613,"[1, -3, 1, -2, 3, -3, 3, -3, 3]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
2614,"[-3, -1, -2, 1, -2, 3, -2, -2, 1]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0
2615,"[2, -2, -1, -3, -3, 1, -1, 2, -1]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0
2616,"[-1, 3, 3, 3, 1, 1, -3, -2, -1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
2617,"[-2, 2, 1, 3, -1, -3, 3, -3, -1]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0
2618,"[3, 3, -1, -3, -3, 3, 1, -1, -3]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0
2619,"[3, -3, -3, 2, -1, -3, 2, 2, -3]","{(-7, -3): 1, (-5, -2): 1, (-3, -2): 1, (-3, -1): 1, (-1, -1): 1, (-1, 0): 2, (1, 0): 2, (1, 1): 1, (3, 1): 1, (3, 2): 1, (5, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (5, 3): {2: 1}}",14,6
2620,"[2, 1, 2, 3, -3, -1, 1, 1, -3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
2621,"[3, -2, 1, -3, 1, 3, -3, -1, -3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2622,"[-2, -1, 1, 1, -2, -3, 1, -1, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2623,"[-3, -1, -2, -3, -1, 2, -3, -3, -2]","{(-17, -6): 1, (-15, -6): 1, (-15, -5): 1, (-13, -4): 1, (-11, -4): 2, (-11, -3): 1, (-9, -2): 1, (-7, -2): 2, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",12,2
2624,"[1, 3, -3, -1, 1, -2, 2, -2, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2625,"[3, -1, -2, -2, 1, 1, 3, 2, -1]","{(-7, -3): 1, (-5, -2): 2, (-3, -2): 1, (-1, -1): 2, (-1, 0): 4, (1, 0): 4, (1, 1): 2, (3, 2): 1, (5, 2): 2, (7, 3): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 2}, (3, 2): {2: 2}, (5, 3): {2: 1}}",20,6
2626,"[3, 3, -2, -2, 3, -3, -2, 3, 2]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0
2627,"[-2, 2, -2, -2, -2, 2, -2, -2, -3]","{(-12, -4): 1, (-10, -4): 1, (-10, -3): 1, (-6, -2): 1, (-4, 0): 1, (-2, 0): 1}","{(-8, -2): {2: 1}}",6,1
2628,"[1, 2, -3, -2, 2, -2, -1, -2, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2629,"[-3, -2, 1, 2, 1, -3, -1, 2, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2630,"[-1, 3, 1, 3, 1, -3, -3, 1, -3]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
2631,"[2, -3, -3, 3, 3, -3, -3, -1, -2]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
2632,"[-2, -2, 1, 2, 2, 3, 1, -2, 1]","{(-3, -1): 1, (-1, 0): 1, (1, 0): 2, (1, 1): 1, (3, 2): 1, (5, 2): 1, (7, 3): 1, (7, 4): 1, (11, 5): 1}","{(-1, 0): {2: 1}, (3, 2): {2: 1}, (5, 3): {2: 1}, (9, 5): {2: 1}}",10,4
2633,"[1, -3, -1, -1, 1, 1, -3, 2, -3]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1
2634,"[-2, 3, -3, -3, 2, 1, 1, 3, 2]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
2635,"[3, 2, 2, 3, 3, 2, 2, -3, -1]","{(3, 0): 1, (5, 0): 1, (7, 2): 2, (9, 2): 1, (11, 3): 1, (11, 4): 2, (13, 4): 1, (15, 5): 1, (15, 6): 1, (17, 6): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",12,2
2636,"[2, -2, 1, 1, -3, 2, 2, -3, 1]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 3, (3, 0): 2, (5, 1): 1, (5, 2): 3, (7, 2): 1, (9, 3): 2, (9, 4): 1, (13, 5): 1}","{(3, 1): {2: 1}, (7, 3): {2: 2}, (11, 5): {2: 1}}",16,4
2637,"[2, 2, 2, -2, -2, 3, -1, -2, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2638,"[-3, -1, 2, -1, 1, 2, -3, -1, -2]","{(-9, -4): 1, (-7, -4): 1, (-5, -2): 1, (-3, 0): 1, (-1, -1): 1, (-1, 0): 3, (1, 0): 2}","{(-3, -1): {2: 1}}",10,1
2639,"[3, -2, 3, -3, -2, -3, -1, 3, 1]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
2640,"[1, 3, -1, -3, 3, 1, 3, 2, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
2641,"[-2, -3, -1, -1, 2, -3, -3, 2, -1]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3
2642,"[1, 3, -1, 3, -3, 2, 1, -1, -3]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0
2643,"[1, -2, -1, -2, -2, -2, 2, -3, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2644,"[-2, 2, 2, 2, -1, 3, 3, -1, 3]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 3, (3, 0): 2, (5, 1): 1, (5, 2): 3, (7, 2): 1, (9, 3): 2, (9, 4): 1, (13, 5): 1}","{(3, 1): {2: 1}, (7, 3): {2: 2}, (11, 5): {2: 1}}",16,4
2645,"[1, -2, -2, 3, -3, -2, 1, -1, 3]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1
2646,"[-3, 2, 1, 3, 1, 1, 3, -1, 2]","{(1, 0): 1, (3, 0): 1, (3, 1): 1, (5, 2): 1, (7, 2): 2, (7, 3): 1, (9, 4): 1, (11, 4): 2, (13, 6): 1, (15, 6): 1}","{(5, 2): {2: 1}, (9, 4): {2: 1}}",12,2
2647,"[2, -1, -1, 2, -2, -1, -3, 3, -1]","{(-12, -4): 1, (-10, -4): 1, (-10, -3): 1, (-6, -2): 1, (-4, 0): 1, (-2, 0): 1}","{(-8, -2): {2: 1}}",6,1
2648,"[1, -3, -2, -3, -1, 3, -1, 2, 3]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
2649,"[3, 2, -2, -3, -2, 1, 3, -3, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2650,"[-1, 1, 3, 1, -2, 2, -1, 3, -1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
2651,"[2, -3, -2, 3, 2, 2, 1, 2, -2]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
2652,"[1, 2, 2, 1, 1, 2, 1, 1, -3]","{(5, 0): 1, (7, 0): 1, (9, 2): 1, (11, 4): 1, (13, 3): 1, (13, 4): 1, (15, 5): 1, (17, 5): 1}","{(11, 3): {2: 1}}",8,1
2653,"[2, 2, 1, -2, 3, -1, -1, -2, 3]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 2, (1, 0): 1, (1, 1): 1, (3, 1): 1, (5, 2): 1, (5, 3): 1, (9, 4): 1}","{(-3, -1): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (7, 4): {2: 1}}",10,4
2654,"[3, -2, -2, -1, 3, -3, -2, 3, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2655,"[-2, 1, 3, -2, -3, 2, -2, 2, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2656,"[1, 2, -1, -3, 1, 2, 2, -3, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
2657,"[1, 2, -1, -1, 1, 1, 3, 2, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2658,"[-3, -1, 1, -2, 3, -1, -1, 1, 1]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0
2659,"[-3, 3, 1, 2, -2, -1, -2, 2, -3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2660,"[-1, -2, -2, -1, 2, -3, -3, 3, -2]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0
2661,"[-2, -3, -1, -3, -2, -3, 2, -1, 2]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0
2662,"[-1, 2, 2, 3, -1, -1, 1, 3, 3]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 3, (3, 0): 2, (5, 1): 1, (5, 2): 3, (7, 2): 1, (9, 3): 2, (9, 4): 1, (13, 5): 1}","{(3, 1): {2: 1}, (7, 3): {2: 2}, (11, 5): {2: 1}}",16,4
2663,"[3, -1, 3, -1, -1, -1, 2, 2, -2]","{(-11, -4): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 2, (-5, -1): 1, (-3, 0): 1, (-1, 0): 2, (1, 2): 1, (3, 2): 1}","{(-7, -2): {2: 1}, (-3, 0): {2: 1}}",12,2
2664,"[3, 2, -1, -2, 1, 1, -2, -1, -1]","{(-11, -5): 1, (-7, -4): 1, (-7, -3): 1, (-5, -2): 1, (-3, -2): 1, (-1, -1): 1, (-1, 0): 2, (1, 0): 1, (3, 1): 1}","{(-9, -4): {2: 1}, (-5, -2): {2: 1}, (-3, -1): {2: 1}, (1, 1): {2: 1}}",10,4
2665,"[2, 3, -2, -2, -2, 1, 1, 1, 1]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 2, (3, 0): 1, (5, 1): 1, (5, 2): 2, (7, 2): 1, (9, 3): 1, (9, 4): 1, (11, 4): 1}","{(3, 1): {2: 1}, (7, 3): {2: 1}}",12,2
2666,"[-3, 2, -3, 2, 1, -3, 1, -3, -2]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
2667,"[-1, 3, -2, 3, 3, 1, 2, -1, -1]","{(-7, -3): 1, (-5, -2): 1, (-3, -2): 1, (-3, -1): 1, (-1, -1): 1, (-1, 0): 2, (1, 0): 2, (1, 1): 1, (3, 1): 1, (3, 2): 1, (5, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (5, 3): {2: 1}}",14,6
2668,"[1, 2, 2, 1, -3, -3, -3, -3, -1]","{(-11, -4): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 2, (-5, -1): 1, (-3, 0): 1, (-1, 0): 2, (1, 2): 1, (3, 2): 1}","{(-7, -2): {2: 1}, (-3, 0): {2: 1}}",12,2
2669,"[3, -3, 3, -2, -2, 3, -2, 3, -2]","{(-10, -4): 1, (-8, -3): 2, (-6, -3): 1, (-6, -2): 2, (-4, -2): 2, (-4, -1): 2, (-2, -1): 2, (-2, 0): 3, (0, 0): 4, (0, 1): 2, (2, 1): 1, (2, 2): 1, (4, 2): 2, (6, 3): 1}","{(-8, -3): {2: 1}, (-6, -2): {2: 2}, (-4, -1): {2: 2}, (-2, 0): {2: 2}, (0, 1): {2: 1}, (2, 2): {2: 2}, (4, 3): {2: 1}}",26,11
2670,"[-1, 1, -3, -2, 3, 3, 1, 3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0
2671,"[-1, 3, 3, -2, -1, -2, 3, -2, -1]","{(-13, -5): 1, (-11, -4): 1, (-9, -4): 1, (-9, -3): 2, (-7, -3): 1, (-7, -2): 2, (-5, -2): 2, (-5, -1): 2, (-3, -1): 2, (-3, 0): 2, (-1, 0): 3, (-1, 1): 1, (1, 1): 1, (1, 2): 1, (3, 2): 1, (5, 3): 1}","{(-11, -4): {2: 1}, (-9, -3): {2: 1}, (-7, -2): {2: 2}, (-5, -1): {2: 2}, (-3, 0): {2: 2}, (-1, 1): {2: 1}, (1, 2): {2: 1}, (3, 3): {2: 1}}",24,11
2672,"[-3, -3, 1, 3, 3, 3, 2, 3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0
2673,"[-3, -3, -3, 2, 1, -3, 1, -2, -1]","{(-11, -4): 1, (-9, -3): 1, (-7, -3): 1, (-7, -2): 1, (-5, -2): 1, (-5, -1): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 2, (-1, 1): 1, (3, 2): 1}","{(-9, -3): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}, (-3, 0): {2: 1}, (1, 2): {2: 1}}",12,5
2674,"[-2, -2, 3, 2, -2, -1, -3, -2, 1]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
2675,"[3, -3, -1, -2, 1, -1, 1, -1, -1]","{(-6, -2): 1, (-4, -2): 1, (-2, 0): 1, (0, 0): 1}",{},4,0
2676,"[1, -2, -3, 3, 1, -2, 3, 2, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2677,"[-3, 3, -3, 3, 3, 2, 3, -1, 1]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0
2678,"[1, -3, 1, -1, 3, 3, 3, 2, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
2679,"[-1, 3, 3, -2, 3, 3, 1, 1, 1]","{(3, 0): 1, (5, 0): 1, (7, 2): 2, (9, 2): 1, (11, 3): 1, (11, 4): 2, (13, 4): 1, (15, 5): 1, (15, 6): 1, (17, 6): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",12,2
2680,"[3, 2, 2, -1, -1, -2, 2, 3, -2]","{(-5, -2): 1, (-3, -2): 1, (-3, -1): 1, (-1, 0): 1, (1, 0): 2, (1, 1): 1, (3, 2): 1, (5, 2): 2, (7, 4): 1, (9, 4): 1}","{(-1, 0): {2: 1}, (3, 2): {2: 1}}",12,2
2681,"[-1, -3, 1, 3, 3, 3, 1, -2, -3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2682,"[1, -2, 2, 2, -2, 3, -1, 1, 3]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
2683,"[-2, 2, 3, 2, 1, -1, -3, 1, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
2684,"[-2, 2, -2, 1, 3, 3, 3, 1, 1]","{(3, 0): 1, (5, 0): 1, (7, 2): 2, (11, 3): 2, (11, 4): 1, (13, 5): 1, (15, 5): 1, (17, 6): 1}","{(9, 3): {2: 2}, (13, 5): {2: 1}, (15, 6): {2: 1}}",10,4
2685,"[-2, -1, 2, 2, -2, 2, -1, -3, 3]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0
2686,"[-1, 1, 1, 1, 1, -3, -2, -2, 3]","{(-5, -2): 1, (-3, -2): 2, (-1, -2): 1, (-1, 0): 2, (1, 0): 3, (3, 0): 1, (3, 1): 1, (3, 2): 1, (5, 1): 1, (5, 2): 1, (7, 3): 1, (9, 3): 1}","{(1, 1): {2: 1}, (3, 1): {2: 1}, (5, 3): {2: 1}, (7, 3): {2: 1}}",16,4
